DOCENTE RESPONSAVEL,CÓD.UC,NOME DA UC,APROVADOS,REPROVADOS,TOTAL
VANESSA ANDRADE PEREIRA,2672,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",80.88%,19.12%,1109
VANESSA ANDRADE PEREIRA,4372,ESTRUTURA E DINÂMICA SOCIAL,88.75%,11.25%,160
VANESSA ANDRADE PEREIRA,5870,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",88.31%,11.69%,402
VANESSA ANDRADE PEREIRA,5919,CULTURA DIGITAL,77.12%,22.88%,153
VANESSA ANDRADE PEREIRA,6070,RELAÇÕES ÉTNICO-RACIAIS E CULTURA AFRO-BRASILEIRA E INDÍGENA,90.0%,10.0%,30
VANESSA ANDRADE PEREIRA,6073,TÓPICOS EM CIÊNCIA E TECNOLOGIA,82.5%,17.5%,80
VANESSA ANDRADE PEREIRA,6076,CULTURA DOS JOGOS DIGITAIS,89.97%,10.03%,598
VANESSA ANDRADE PEREIRA,6084,"DIREITOS HUMANOS, MULTICULTURALISMO E C&T",86.67%,13.33%,60
VANESSA ANDRADE PEREIRA,8536,DESENVOLVIMENTO DE GAMES,54.17%,45.83%,24
VANESSA GONCALVES PASCHOA FERRAZ,2475,ÁLGEBRA LINEAR,63.38%,36.62%,71
VANESSA GONCALVES PASCHOA FERRAZ,2650,GEOMETRIA ANALÍTICA,71.2%,28.8%,125
VANESSA GONCALVES PASCHOA FERRAZ,2828,CÁLCULO NUMÉRICO,91.84%,8.16%,49
VANESSA GONCALVES PASCHOA FERRAZ,4187,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,34.78%,65.22%,46
VANESSA GONCALVES PASCHOA FERRAZ,4328,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,52.05%,47.95%,73
VANESSA GONCALVES PASCHOA FERRAZ,5367,CÁLCULO EM UMA VARIÁVEL,45.2%,54.8%,354
VANESSA GONCALVES PASCHOA FERRAZ,7684,LABORATÓRIO DE MATEMÁTICA,85.16%,14.84%,128
VINICIUS VELOSO DE MELO,2649,LÓGICA DE PROGRAMAÇÃO,20.51%,79.49%,39
VINICIUS VELOSO DE MELO,2651,ALGORITMOS E ESTRUTURAS DE DADOS,68.92%,31.08%,74
VINICIUS VELOSO DE MELO,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,81.25%,18.75%,64
VINICIUS VELOSO DE MELO,3490,INTELIGÊNCIA ARTIFICIAL,68.35%,31.65%,79
WASHINGTON ALVES DE OLIVEIRA,4187,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,50.57%,49.43%,87
ZULEIKA STEFANIA SABINO ROQUE,2672,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",75.96%,24.04%,104
ZULEIKA STEFANIA SABINO ROQUE,5870,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",76.4%,23.6%,89
ZULEIKA STEFANIA SABINO ROQUE,6070,RELAÇÕES ÉTNICO-RACIAIS E CULTURA AFRO-BRASILEIRA E INDÍGENA,87.23%,12.77%,47
ZULEIKA STEFANIA SABINO ROQUE,6084,"DIREITOS HUMANOS, MULTICULTURALISMO E C&T",86.27%,13.73%,204
ALINE CAPELLA DE OLIVEIRA,2649,LÓGICA DE PROGRAMAÇÃO,100.0%,0.0%,33
ALINE CAPELLA DE OLIVEIRA,4369,FENÔMENOS MECÂNICOS,100.0%,0.0%,49
ALINE CAPELLA DE OLIVEIRA,4370,QUÍMICA GERAL EXPERIMENTAL,100.0%,0.0%,31
ALINE CAPELLA DE OLIVEIRA,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,100.0%,0.0%,23
ALINE CAPELLA DE OLIVEIRA,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,100.0%,0.0%,30
ALINE CAPELLA DE OLIVEIRA,5399,TEORIAS ADMINISTRATIVAS,100.0%,0.0%,22
ALINE CAPELLA DE OLIVEIRA,5882,ESTÁGIO,100.0%,0.0%,53
ALINE CAPELLA DE OLIVEIRA,6929,SOLDAGEM,100.0%,0.0%,35
ALINE CAPELLA DE OLIVEIRA,7470,ATIVIDADES COMPLEMENTARES - ENG. DE MATERIAIS,100.0%,0.0%,190
ANA PAULA DE MORAES,5867,BIOTECNOLOGIA VEGETAL,100.0%,0.0%,24
ANA PAULA FONSECA ALBERS,5873,PROCESSAMENTO DE MATERIAIS CERÂMICOS,100.0%,0.0%,21
ANDRE ZELANIS PALITOT PEREIRA,5860,PROTEÔMICA,100.0%,0.0%,74
BRUNO YUJI LINO KIMURA,6101,SEMINÁRIOS INTERDISCIPLINARES,100.0%,0.0%,24
CARLOS CESAR APARECIDO EGUTI,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,100.0%,0.0%,86
CLAUDIO SABURO SHIDA,4695,ATIVIDADES COMPLEMENTARES - BCT,100.0%,0.0%,127
DANIEL GUSTAVO GOROSO,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,100.0%,0.0%,42
DANIELA LEAL MUSA,6091,TÓPICOS EM CIÊNCIA E TECNOLOGIA III,100.0%,0.0%,23
DANIELI APARECIDA PEREIRA REIS,5783,FUNDAMENTOS DE METALURGIA,100.0%,0.0%,32
DANIELI APARECIDA PEREIRA REIS,5872,FUNDAMENTOS DE METALURGIA II,100.0%,0.0%,56
DANIELI APARECIDA PEREIRA REIS,5881,CORROSÃO E DEGRADAÇÃO DE MATERIAIS,100.0%,0.0%,83
DANIELI APARECIDA PEREIRA REIS,7580,MATERIAIS AEROESPACIAIS,100.0%,0.0%,45
DENISE STRINGHINI,4695,ATIVIDADES COMPLEMENTARES - BCT,100.0%,0.0%,720
EDUARDO QUINTEIRO,5875,CERÂMICAS REFRATÁRIAS,100.0%,0.0%,165
EDUARDO QUINTEIRO,6682,ENGENHARIA DE PRODUTOS CERÂMICOS,100.0%,0.0%,77
ELISABETH DE FATIMA PIRES AUGUSTO,5851,ENGENHARIA BIOQUÍMICA II,100.0%,0.0%,70
ELISABETH DE FATIMA PIRES AUGUSTO,5852,LABORATÓRIO DE ENGENHARIA BIOQUÍMICA,100.0%,0.0%,67
ERICA FREIRE ANTUNES,4768,LABORATÓRIO DE FENÔMENOS DO CONTÍNUO,100.0%,0.0%,30
EZEQUIEL ROBERTO ZORZAL,5781,INTERAÇÃO HUMANO-COMPUTADOR,100.0%,0.0%,36
FABIO AUGUSTO MENOCCI CAPPABIANCO,6099,MATERIAIS ELÉTRICOS,100.0%,0.0%,22
FABIO ROBERTO PASSADOR,4695,ATIVIDADES COMPLEMENTARES - BCT,100.0%,0.0%,32
FABIO ROBERTO PASSADOR,7470,ATIVIDADES COMPLEMENTARES - ENG. DE MATERIAIS,100.0%,0.0%,21
HENRIQUE ALVES DE AMORIM,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,100.0%,0.0%,36
HUGO DE CAMPOS BRAGA,4772,QUÍMICA INORGÂNICA,100.0%,0.0%,28
KARINA RABELLO CASALI,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,100.0%,0.0%,25
KARINA RABELLO CASALI,5135,CIRCUITOS ELÉTRICOS,100.0%,0.0%,21
KARINA RABELLO CASALI,5453,INTRODUÇÃO À ELETROTÉCNICA,100.0%,0.0%,22
KARINA RABELLO CASALI,7468,ATIVIDADES COMPLEMENTARES - ENG BIOMÉDICA,100.0%,0.0%,97
KATIA REGINA CARDOSO,5878,METALURGIA EXTRATIVA,100.0%,0.0%,30
LARISSA STIEVEN MONTAGNA,5787,TÉCNICAS EXPERIMENTAIS,100.0%,0.0%,40
LUIZ EDUARDO GALVAO MARTINS,2614,ENGENHARIA DE SOFTWARE,100.0%,0.0%,110
LUIZ EDUARDO GALVAO MARTINS,6095,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: ENGENHARIA DE SISTEMAS,100.0%,0.0%,92
MARCELO DEZENA CABRELON,5787,TÉCNICAS EXPERIMENTAIS,100.0%,0.0%,28
MARCOS MASSI,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,100.0%,0.0%,101
MARCOS MASSI,5364,FENÔMENOS DO CONTÍNUO EXPERIMENTAL,100.0%,0.0%,58
MARINA OLIVEIRA DE SOUZA DIAS,6931,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS II,100.0%,0.0%,35
MARLI LEITE DE MORAES,4695,ATIVIDADES COMPLEMENTARES - BCT,100.0%,0.0%,123
MARTIN RODRIGO ALEJANDRO WURTELE ALFONSO,4695,ATIVIDADES COMPLEMENTARES - BCT,100.0%,0.0%,56
MATHEUS CARDOSO MORAES,5903,CIRCUITOS ELÉTRICOS II,100.0%,0.0%,45
MAURICIO PINHEIRO DE OLIVEIRA,5394,OPERAÇÕES UNITÁRIAS,100.0%,0.0%,49
NELIO MARCO VINCENZO BIZZO,8964,ALFABETIZAÇÃO NUTRICIONAL: LENDO RÓTULOS DE ALIMENTOS,100.0%,0.0%,27
NIRTON CRISTI SILVA VIEIRA,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,100.0%,0.0%,35
REGIANE ALBERTINI DE CARVALHO,5934,BIOTECNOLOGIA,100.0%,0.0%,27
SERGIO RONALDO BARROS DOS SANTOS,6035,ATIVIDADES DE EXTENSÃO,100.0%,0.0%,76
SERGIO RONALDO BARROS DOS SANTOS,7469,ATIVIDADES COMPLEMENTARES - ENG COMPUTAÇÃO,100.0%,0.0%,88
THADEU ALVES SENNE,2475,ÁLGEBRA LINEAR,100.0%,0.0%,56
